Event:;Participant:
E18;BM_A1
E5;BM_A2
E1;BM_A3
E2;BM_A3
E3;BM_A3
E4;BM_A3
E5;BM_A3
E6;BM_A3
E8;BM_A3
E9;BM_A3
E13;BM_A3
E14;BM_A3
E15;BM_A3
E16;BM_A3
E2;BM_A4
E6;BM_A4
E8;BM_A4
E9;BM_A4
E12;BM_A4
E13;BM_A4
E15;BM_A4
E17;BM_A4
E18;BM_A4
E18;BM_A5
E2;BM_A6
E6;BM_A6
E5;BM_A7
E11;BM_A7
E12;BM_A7
E13;BM_A7
E17;BM_A7
E18;BM_A7
E9;BM_B10
E10;BM_B10
E12;BM_B10
E13;BM_B10
E15;BM_B10
E17;BM_B10
E1;BM_B11
E5;BM_B11
E10;BM_B11
E12;BM_B11
E13;BM_B11
E15;BM_B11
E16;BM_B11
E17;BM_B11
E1;BM_B12
E2;BM_B12
E3;BM_B12
E4;BM_B12
E9;BM_B12
E13;BM_B12
E16;BM_B12
E17;BM_B12
E9;BM_B13
E10;BM_B13
E11;BM_B13
E13;BM_B13
E15;BM_B13
E16;BM_B13
E18;BM_B13
E7;BM_B14
E8;BM_B14
E9;BM_B14
E11;BM_B14
E12;BM_B14
E13;BM_B14
E15;BM_B14
E5;BM_B15
E6;BM_B15
E9;BM_B15
E13;BM_B15
E1;BM_B16
E2;BM_B16
E12;BM_B16
E16;BM_B16
E1;BM_B3
E2;BM_B3
E5;BM_B3
E6;BM_B3
E8;BM_B3
E13;BM_B3
E14;BM_B3
E15;BM_B3
E17;BM_B3
E18;BM_B3
E17;BM_B4
E1;BM_B5
E10;BM_B5
E5;BM_B6
E13;BM_B6
E2;BM_B7
E5;BM_B7
E6;BM_B7
E10;BM_B7
E12;BM_B7
E13;BM_B7
E15;BM_B7
E16;BM_B7
E18;BM_B7
E16;BM_B8
E17;BM_B8
E18;BM_B8
E6;BM_B9
E11;BM_B9
E14;BM_B9
E15;BM_B9
E17;BM_B9
E18;BM_B9
E18;BM_C1
E4;BM_C2
E6;BM_C2
E8;BM_C2
E13;BM_C2
E17;BM_C2
E1;BM_C3
E2;BM_C3
E3;BM_C3
E4;BM_C3
E6;BM_C3
E8;BM_C3
E9;BM_C3
E13;BM_C3
E14;BM_C3
E15;BM_C3
E16;BM_C3
E17;BM_C3
E18;BM_C3
E1;BM_C4
E5;BM_C4
E9;BM_C4
E10;BM_C4
E2;BM_C5
E6;BM_C5
E2;BM_C6
E15;BM_C6
E16;BM_C6
E14;BM_C7
E16;BM_C7
E17;BM_C7
E17;BM_C8
E18;BM_C8
E4;BM_D1
E5;BM_D1
E6;BM_D1
E9;BM_D1
E11;BM_D1
E13;BM_D1
E18;BM_D1
E1;BM_D2
E2;BM_D2
E3;BM_D2
E4;BM_D2
E5;BM_D2
E6;BM_D2
E9;BM_D2
E10;BM_D2
E11;BM_D2
E13;BM_D2
E15;BM_D2
E16;BM_D2
E17;BM_D2
E18;BM_D2
E1;BM_D4
E9;BM_D4
E10;BM_D4
E13;BM_D4
E1;BM_E1
E2;BM_E1
E3;BM_E1
E4;BM_E1
E6;BM_E1
E7;BM_E1
E9;BM_E1
E10;BM_E1
E11;BM_E1
E15;BM_E1
E17;BM_E1
E15;BM_E2
E15;BM_E3
E17;BM_E3
E18;BM_E3
E1;BM_E4
E18;BM_E4
E1;BM_E6
E18;BM_E6
E2;BM_E7
E3;BM_E7
E4;BM_E7
E6;BM_E7
E9;BM_E7
E10;BM_E7
E11;BM_E7
E13;BM_E7
E17;BM_E7
E18;BM_E8
E17;BM_E9
E18;BM_F1
E2;BM_F2
E3;BM_F2
E4;BM_F2
E6;BM_F2
E9;BM_F2
E15;BM_F2
E16;BM_F2
E1;BM_F3
E7;BM_F3
E15;BM_F4
E17;BM_F4
E18;BM_F4
E16;BM_F5
E5;BM_G1
E8;BM_G2
E9;BM_G2
E13;BM_G2
E15;BM_G2
E17;BM_G3
E18;BM_G3
E1;BM_G4
E6;BM_G4
E8;BM_G4
E11;BM_G4
E12;BM_G4
E13;BM_G4
E16;BM_G4
E18;BM_G4
E5;BM_G5
E6;BM_G5
E9;BM_G5
E12;BM_G5
E13;BM_G5
E15;BM_G5
E1;BM_G6
E3;BM_G6
E4;BM_G6
E6;BM_G6
E9;BM_G6
E11;BM_G6
E13;BM_G6
E1;BM_G7
E8;BM_G7
E9;BM_G7
E1;BM_H1
E3;BM_H1
E4;BM_H1
E8;BM_H1
E9;BM_H1
E12;BM_H1
E13;BM_H1
E15;BM_H1
E18;BM_H10
E17;BM_H11
E18;BM_H11
E18;BM_H12
E18;BM_H3
E6;BM_H5
E9;BM_H5
E13;BM_H5
E16;BM_H5
E18;BM_H5
E18;BM_H6
E15;BM_H7
E18;BM_H7
E2;BM_H8
E6;BM_H8
E8;BM_H8
E9;BM_H8
E13;BM_H9
E13;BM_I1
E16;BM_I1
E17;BM_I1
E18;BM_I1
E1;BM_I2
E2;BM_I2
E4;BM_I2
E7;BM_I2
E9;BM_I2
E12;BM_I2
E1;BM_I3
E2;BM_I3
E3;BM_I3
E4;BM_I3
E6;BM_I3
E7;BM_I3
E10;BM_I3
E11;BM_I3
E15;BM_I3
E17;BM_I3
E18;BM_I3
E1;BM_I4
E18;BM_I4
E1;BM_I6
E18;BM_I6
E15;BM_I7
E16;BM_I7
E17;BM_I7
E1;HKI_1
E2;HKI_1
E3;HKI_1
E4;HKI_1
E6;HKI_1
E9;HKI_1
E10;HKI_1
E11;HKI_1
E12;HKI_1
E13;HKI_1
E14;HKI_1
E15;HKI_1
E16;HKI_1
E17;HKI_1
E18;HKI_1
E1;HKI_2
E2;HKI_2
E3;HKI_2
E4;HKI_2
E5;HKI_2
E6;HKI_2
E7;HKI_2
E8;HKI_2
E9;HKI_2
E10;HKI_2
E11;HKI_2
E12;HKI_2
E13;HKI_2
E14;HKI_2
E15;HKI_2
E16;HKI_2
E17;HKI_2
E18;HKI_2
E17;NM_J1
E17;NM_J10
E17;NM_J11
E17;NM_J12
E13;NM_J13
E18;NM_J14
E17;NM_J2
E17;NM_J3
E17;NM_J4
E17;NM_J5
E1;NM_J6
E17;NM_J7
E10;NM_J8
E15;NM_J9
E15;NM_A1
E18;NM_A2
E18;NM_A3
E10;NM_B1
E10;NM_B17
E13;NM_B10
E15;NM_B10
E9;NM_B11
E10;NM_B12
E1;NM_B13
E10;NM_B14
E10;NM_B15
E18;NM_B16
E10;NM_B2
E10;NM_B3
E10;NM_B4
E10;NM_B5
E15;NM_B6
E10;NM_B7
E15;NM_B8
E10;NM_B9
E2;NM_C1
E9;NM_C2
E1;NM_C3
E17;NM_C4
E6;NM_C5
E13;NM_C6
E6;NM_C7
E7;NM_C7
E10;NM_C8
E10;NM_D1
E13;NM_D2
E10;NM_D3
E9;BM_D5
E13;BM_D5
E15;BM_D5
E18;BM_D5
E13;NM_D5
E6;NM_D6
E13;NM_D6
E15;NM_D6
E10;NM_K1
E10;NM_K2
E9;NM_K3
E10;NM_E1
E15;NM_E2
E10;NM_E3
E1;NM_E4
E10;NM_E5
E10;NM_F1
E10;NM_G1
E17;NM_G2
E6;NM_L1
E17;NM_L1
E10;NM_L2
E1;NM_L3
E9;NM_L4
E17;NM_L5
E14;NM_L6
E6;NM_L7
E13;NM_L7
E14;NM_L8
E15;NM_L8
E13;NM_M1
E10;NM_M2
E10;NM_M3
E17;NM_N1
E13;NM_N10
E10;NM_N11
E17;NM_N11
E15;NM_N2
E18;NM_N2
E17;NM_N3
E10;NM_N4
E9;NM_N5
E3;NM_N6
E10;NM_N6
E1;NM_N7
E3;NM_N7
E3;NM_N8
E4;NM_N8
E17;NM_N8
E9;NM_N9
E17;NM_N9
E18;NM_N9
E10;NM_O1
E10;NM_O2
E10;NM_O3
E6;NM_O5
E15;NM_O6
E15;NM_O7
E10;NM_O9
E18;NM_O10
E13;NM_H1
E13;NM_H22
E15;NM_H10
E9;NM_H11
E17;NM_H12
E6;NM_H13
E10;NM_H14
E15;NM_H15
E10;NM_H16
E10;NM_H17
E10;NM_H18
E18;NM_H18
E18;NM_H19
E10;NM_H2
E18;NM_H20
E18;NM_H21
E17;NM_H3
E2;NM_H4
E6;NM_H4
E13;NM_H5
E3;NM_H6
E4;NM_H6
E2;NM_H7
E15;NM_H8
E10;NM_I1
E10;NM_I2
E10;NM_I3
E10;NM_I4
E10;NM_I5
E7;NM_I6
E18;NM_I7
E18;NM_I8
E1;OM_L1
E3;OM_L1
E4;OM_L1
E6;OM_L1
E10;OM_L1
E11;OM_L1
E15;OM_L1
E17;OM_L1
E18;OM_L1
E6;OM_L2
E17;OM_L2
E18;OM_N1
E5;OM_N2
E6;OM_N2
E7;OM_N2
E1;OM_N4
E3;OM_N4
E4;OM_N4
E7;OM_N5
E9;OM_N5
E12;OM_N5
E13;OM_N5
E5;OM_O1
E6;OM_O1
E9;OM_O1
E17;OM_O1
E18;OM_O1
E1;OM_O10
E2;OM_O10
E5;OM_O10
E6;OM_O10
E15;OM_O10
E17;OM_O10
E17;OM_O11
E4;OM_O2
E5;OM_O2
E6;OM_O2
E9;OM_O2
E10;OM_O2
E11;OM_O2
E13;OM_O2
E15;OM_O2
E17;OM_O2
E18;OM_O3
E2;OM_O4
E3;OM_O4
E4;OM_O4
E6;OM_O4
E9;OM_O4
E10;OM_O4
E13;OM_O4
E18;OM_O4
E11;OM_O6
E5;OM_O7
E1;OM_O8
E2;OM_O8
E3;OM_O8
E4;OM_O8
E9;OM_O8
E6;OM_O9
E9;OM_O9
E11;OM_O9
E13;OM_O9
E14;OM_O9
E16;OM_O9
E18;OM_O9
